Resource                            Global Catalog Id
----                                ----
ibm_is_vpc                          is.vpc
ibm_container_vpc_cluster           containers-kubernetes
ibm_container_vpc_worker_pool       containers-kubernetes
ibm_is_instance                     is.instance
ibm_is_volume                       is.volume
ibm_is_vpn_gateway                  is.vpn
ibm_tg_gateway                      transit.gateway
ibm_is_floating_ip                  is.floating-ip
ibm_is_flow_log                     is.flow-log-collector
ibm_cloudant                        cloudantnosqldb
ibm_pi_instance                     power-iaas
ibm_cos_bucket                      standard-bucket
ibm_is_lb                           is.load-balancer
ibm_is_public_gateway               is.public-gateway
ibm_atracker_target                 -
ibm_iam_access_group                -
ibm_iam_access_group_dynamic_rule   -
ibm_iam_access_group_members        -
ibm_iam_access_group_policy         -
ibm_iam_account_settings            -
ibm_iam_authorization_policy        -
ibm_is_lb_listener                  -
ibm_is_lb_pool                      -
ibm_is_lb_pool_member               -
ibm_is_network_acl                  -
ibm_is_security_group               -
ibm_is_security_group_rule          -
ibm_is_ssh_key                      -
ibm_is_subnet                       -
ibm_is_subnet_reserved_ip           -
ibm_is_virtual_endpoint_gateway     -
ibm_is_virtual_endpoint_gateway_ip  -
ibm_is_vpc_address_prefix           -
ibm_is_vpn_gateway_connection       -
ibm_kms_key                         -
ibm_kms_key_rings                   -
ibm_resource_group                  -
ibm_resource_key                    -
ibm_tg_connection                   -
